Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct,season,alert_time,alert_date,matched_scan_within_1d,same_day_scan,scan_scan_date,scan_behavior_state,scan_behavior_activity_score,scan_pct_active_mobile,scan_pct_immobile,scan_pct_rumination,scan_total_scans,scan_Weather_conditions,scan_Treatment_hour,scan_Treatment_pad_size(m2),scan_day_delta,scan_abs_day_delta
8500,2019-02-07 11:15:00,0,1,1,1,1,1,48.2,100.0,winter_2019,2019-02-07 11:15:00,2019-02-07,0,0,,,,,,,,,,,,
8500,2019-03-19 07:30:00,1,1,1,1,1,1,50.7,100.0,winter_2019,2019-03-19 07:30:00,2019-03-19,0,0,,,,,,,,,,,,
8500,2019-04-08 17:45:00,0,1,1,1,1,1,44.9,100.0,winter_2019,2019-04-08 17:45:00,2019-04-08,0,0,,,,,,,,,,,,
8502,2019-01-21 15:15:00,1,1,1,1,1,1,47.0,100.0,winter_2019,2019-01-21 15:15:00,2019-01-21,0,0,,,,,,,,,,,,
8502,2019-03-26 11:00:00,0,1,1,1,1,1,48.2,100.0,winter_2019,2019-03-26 11:00:00,2019-03-26,0,0,,,,,,,,,,,,
8502,2019-03-30 12:00:00,0,1,1,1,1,1,45.3,100.0,winter_2019,2019-03-30 12:00:00,2019-03-30,0,0,,,,,,,,,,,,
8505,2019-01-27 07:30:00,0,1,1,1,1,1,46.3,100.0,winter_2019,2019-01-27 07:30:00,2019-01-27,0,0,,,,,,,,,,,,
8506,2019-01-26 00:00:00,1,1,1,1,1,1,47.9,100.0,winter_2019,2019-01-26 00:00:00,2019-01-26,0,0,,,,,,,,,,,,
8506,2019-02-01 13:30:00,1,1,1,1,1,1,46.8,100.0,winter_2019,2019-02-01 13:30:00,2019-02-01,0,0,,,,,,,,,,,,
8506,2019-02-02 11:45:00,1,1,1,1,1,1,52.4,100.0,winter_2019,2019-02-02 11:45:00,2019-02-02,0,0,,,,,,,,,,,,
8506,2019-02-03 01:15:00,1,1,1,1,1,1,47.4,100.0,winter_2019,2019-02-03 01:15:00,2019-02-03,0,0,,,,,,,,,,,,
8506,2019-02-04 13:30:00,1,1,1,1,1,1,48.6,100.0,winter_2019,2019-02-04 13:30:00,2019-02-04,0,0,,,,,,,,,,,,
8506,2019-02-05 10:30:00,1,1,1,1,1,1,50.1,100.0,winter_2019,2019-02-05 10:30:00,2019-02-05,0,0,,,,,,,,,,,,
8506,2019-02-05 23:00:00,1,1,1,1,1,1,48.4,100.0,winter_2019,2019-02-05 23:00:00,2019-02-05,0,0,,,,,,,,,,,,
8506,2019-02-07 02:00:00,0,1,1,1,1,1,43.2,100.0,winter_2019,2019-02-07 02:00:00,2019-02-07,0,0,,,,,,,,,,,,
8506,2019-02-07 19:30:00,0,1,1,1,1,1,43.8,100.0,winter_2019,2019-02-07 19:30:00,2019-02-07,0,0,,,,,,,,,,,,
8506,2019-02-08 09:45:00,1,1,1,1,1,1,51.0,100.0,winter_2019,2019-02-08 09:45:00,2019-02-08,0,0,,,,,,,,,,,,
8506,2019-02-11 03:00:00,1,1,1,1,1,1,49.4,100.0,winter_2019,2019-02-11 03:00:00,2019-02-11,0,0,,,,,,,,,,,,
8508,2019-02-01 17:30:00,1,1,1,1,1,1,47.9,100.0,winter_2019,2019-02-01 17:30:00,2019-02-01,0,0,,,,,,,,,,,,
8508,2019-02-02 11:45:00,1,1,1,1,1,1,47.2,100.0,winter_2019,2019-02-02 11:45:00,2019-02-02,0,0,,,,,,,,,,,,
8508,2019-02-04 10:00:00,0,1,1,1,1,1,45.0,100.0,winter_2019,2019-02-04 10:00:00,2019-02-04,0,0,,,,,,,,,,,,
8508,2019-02-05 11:15:00,1,1,1,1,1,1,47.4,100.0,winter_2019,2019-02-05 11:15:00,2019-02-05,0,0,,,,,,,,,,,,
8508,2019-02-06 07:00:00,1,1,1,1,1,1,46.7,100.0,winter_2019,2019-02-06 07:00:00,2019-02-06,0,0,,,,,,,,,,,,
8508,2019-02-07 10:45:00,1,1,1,1,1,1,47.0,100.0,winter_2019,2019-02-07 10:45:00,2019-02-07,0,0,,,,,,,,,,,,
8508,2019-02-08 09:30:00,1,1,1,1,1,1,48.3,100.0,winter_2019,2019-02-08 09:30:00,2019-02-08,0,0,,,,,,,,,,,,
8508,2019-02-11 12:45:00,1,1,1,1,1,1,49.1,100.0,winter_2019,2019-02-11 12:45:00,2019-02-11,0,0,,,,,,,,,,,,
8508,2019-02-13 12:30:00,1,1,1,1,1,1,48.0,100.0,winter_2019,2019-02-13 12:30:00,2019-02-13,0,0,,,,,,,,,,,,
8508,2019-02-14 09:45:00,1,1,1,1,1,1,48.5,100.0,winter_2019,2019-02-14 09:45:00,2019-02-14,1,0,2019-02-15,rumination_dominant,0.23333333333333334,0.0,0.06666666666666667,0.9333333333333333,15.0,snow,1.0,20.0,1.0,1.0
8508,2019-02-15 11:00:00,1,1,1,1,1,1,47.5,100.0,winter_2019,2019-02-15 11:00:00,2019-02-15,1,1,2019-02-15,rumination_dominant,0.23333333333333334,0.0,0.06666666666666667,0.9333333333333333,15.0,snow,1.0,20.0,0.0,0.0
8508,2019-03-07 11:00:00,1,1,1,1,1,1,47.3,100.0,winter_2019,2019-03-07 11:00:00,2019-03-07,1,1,2019-03-07,rumination_dominant,0.23333333333333334,0.06666666666666667,0.26666666666666666,0.6666666666666666,15.0,clear,1.0,80.0,0.0,0.0
8508,2019-03-12 12:00:00,1,1,1,1,1,1,47.8,100.0,winter_2019,2019-03-12 12:00:00,2019-03-12,0,0,,,,,,,,,,,,
8508,2019-03-25 15:45:00,0,1,1,1,1,1,44.2,100.0,winter_2019,2019-03-25 15:45:00,2019-03-25,0,0,,,,,,,,,,,,
8508,2019-03-26 11:45:00,1,1,1,1,1,1,57.7,100.0,winter_2019,2019-03-26 11:45:00,2019-03-26,0,0,,,,,,,,,,,,
8508,2019-03-28 10:30:00,1,1,1,1,1,1,57.4,100.0,winter_2019,2019-03-28 10:30:00,2019-03-28,1,0,2019-03-29,active_mobile_present,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.5333333333333333,15.0,rain,1.0,60.0,1.0,1.0
8508,2019-03-29 09:30:00,1,1,1,1,1,1,46.7,100.0,winter_2019,2019-03-29 09:30:00,2019-03-29,1,1,2019-03-29,active_mobile_present,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.5333333333333333,15.0,rain,1.0,60.0,0.0,0.0
8508,2019-04-03 09:00:00,1,1,1,1,1,1,46.5,100.0,winter_2019,2019-04-03 09:00:00,2019-04-03,0,0,,,,,,,,,,,,
8508,2019-04-05 12:30:00,1,1,1,1,1,1,47.7,100.0,winter_2019,2019-04-05 12:30:00,2019-04-05,1,1,2019-04-05,rumination_dominant,0.2,0.03333333333333333,0.4,0.4666666666666667,30.0,clear,2.0,20.0,0.0,0.0
8510,2019-02-04 17:30:00,0,1,1,1,1,1,49.0,100.0,winter_2019,2019-02-04 17:30:00,2019-02-04,0,0,,,,,,,,,,,,
8510,2019-02-05 10:30:00,1,1,1,1,1,1,50.3,100.0,winter_2019,2019-02-05 10:30:00,2019-02-05,0,0,,,,,,,,,,,,
8510,2019-02-07 10:30:00,0,1,1,1,1,1,41.1,100.0,winter_2019,2019-02-07 10:30:00,2019-02-07,0,0,,,,,,,,,,,,
8510,2019-02-08 10:15:00,1,1,1,1,1,1,48.1,100.0,winter_2019,2019-02-08 10:15:00,2019-02-08,0,0,,,,,,,,,,,,
8510,2019-03-04 10:00:00,1,1,1,1,1,1,53.0,100.0,winter_2019,2019-03-04 10:00:00,2019-03-04,0,0,,,,,,,,,,,,
8510,2019-03-08 15:00:00,0,1,1,1,1,1,46.6,100.0,winter_2019,2019-03-08 15:00:00,2019-03-08,1,0,2019-03-07,rumination_dominant,0.2,0.0,0.2,0.8,15.0,clear,1.0,60.0,-1.0,1.0
8510,2019-03-12 14:45:00,0,1,1,1,1,1,32.1,100.0,winter_2019,2019-03-12 14:45:00,2019-03-12,0,0,,,,,,,,,,,,
