Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
8517,2019-12-04 12:45:00,1,1,1,1,1,1,58.4,100.0
8517,2019-12-05 11:00:00,1,1,1,1,1,1,47.7,100.0
8517,2019-12-07 09:45:00,0,1,1,1,1,1,34.8,100.0
8525,2019-11-20 00:15:00,0,1,1,1,1,1,43.3,100.0
8525,2019-12-09 02:30:00,0,1,1,1,1,1,38.7,100.0
8525,2019-12-10 02:00:00,0,1,1,1,1,1,44.2,100.0
8525,2019-12-11 00:30:00,0,1,1,1,1,1,45.0,100.0
8525,2019-12-13 22:00:00,1,1,1,1,1,1,51.1,100.0
8526,2019-11-14 15:30:00,1,1,1,1,1,1,50.8,100.0
8526,2019-12-02 16:00:00,0,1,1,1,1,1,40.1,100.0
8527,2019-11-12 11:45:00,1,1,1,1,1,1,47.0,100.0
8527,2019-11-22 12:00:00,0,1,1,1,1,1,47.7,100.0
8527,2019-11-29 10:00:00,1,1,1,1,1,1,49.3,100.0
8527,2019-12-04 12:00:00,0,1,1,1,1,1,47.7,100.0
8527,2019-12-11 10:00:00,1,1,1,1,1,1,49.3,100.0
8536,2019-11-16 07:15:00,1,1,1,1,1,1,47.3,100.0
