layer,season,source_type,extension,relative_path,file_size_mb,rows,cols,n_cows,date_min,date_max,sheet_count,sheet_names_preview,columns_preview
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8536_Tag176_25NOV2019-1148_02DEC2019-1141.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8536_Tag176_25NOV2019-1148_02DEC2019-1141_LB.csv,0.187,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/2078_Tag172_05NOV2019-1922_19NOV2019-1205.csv,0.435,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/2078_Tag172_05NOV2019-1922_19NOV2019-1205_LB.csv,0.014,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/2081_Tag85_05NOV2019-1849_19NOV2019-1201.csv,0.436,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/2081_Tag85_05NOV2019-1849_19NOV2019-1201_LB.csv,0.022,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/3435_Tag168_05NOV2019-1920_19NOV2019-1206.csv,0.436,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/3435_Tag168_05NOV2019-1920_19NOV2019-1206_LB.csv,0.043,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/5874_Tag95_05NOV2019-1849_19NOV2019-1202.csv,0.436,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/5874_Tag95_05NOV2019-1849_19NOV2019-1202_LB.csv,0.012,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/5875_Tag92_05NOV2019-1850_19NOV2019-1201.csv,0.436,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/5875_Tag92_05NOV2019-1850_19NOV2019-1201_LB.csv,0.112,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/8500_Tag178_05NOV2019-1923_19NOV2019-1206.csv,0.436,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk1_05NOV2019-19NOV2019/8500_Tag178_05NOV2019-1923_19NOV2019-1206_LB.csv,0.106,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/2078_Tag93_19NOV2019-1203_26NOV2019-1128.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/2078_Tag93_19NOV2019-1203_26NOV2019-1128_LB.csv,0.01,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/2081_Tag167_19NOV2019-1200_26NOV2019-1124.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/2081_Tag167_19NOV2019-1200_26NOV2019-1124_LB.csv,0.048,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/3435_Tag86_19NOV2019-1205_26NOV2019-1127.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/3435_Tag86_19NOV2019-1205_26NOV2019-1127_LB.csv,0.028,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/5874_Tag158_19NOV2019-1200_26NOV2019-1124.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/5874_Tag158_19NOV2019-1200_26NOV2019-1124_LB.csv,0.093,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/5875_Tag161_19NOV2019-1159_26NOV2019-1123.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/5875_Tag161_19NOV2019-1159_26NOV2019-1123_LB.csv,0.032,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/8500_Tag163_19NOV2019-1204_26NOV2019-1128.csv,0.394,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk2_19NOV2019-26NOV2019/8500_Tag163_19NOV2019-1204_26NOV2019-1128_LB.csv,0.047,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/2078_Tag175_26NOV2019-1127_03DEC2019-1119.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/2078_Tag175_26NOV2019-1127_03DEC2019-1119_LB.csv,0.019,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/2081_Tag180_26NOV2019-1122_03DEC2019-1125.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/2081_Tag180_26NOV2019-1122_03DEC2019-1125_LB.csv,0.022,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/3435_Tag177_26NOV2019-1126_03DEC2019-1118.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/3435_Tag177_26NOV2019-1126_03DEC2019-1118_LB.csv,0.025,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group3_Wk3_26NOV2019-03DEC2019/5874_Tag173_26NOV2019-1122_03DEC2019-1124.csv,0.396,,,,,,,,
