Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
2062,2019-06-06 16:45:00,2019-06-06 17:00:00,8,10,0:07:30,0:07:30,2,1,1
2062,2019-06-06 17:00:00,2019-06-06 17:15:00,12,23,0:00:20,0:14:40,4,2,2
2062,2019-06-06 17:15:00,2019-06-06 17:30:00,14,23,0:00:05,0:14:55,5,2,3
2062,2019-06-06 17:30:00,2019-06-06 17:45:00,7,14,0:00:49,0:14:11,4,2,2
2062,2019-06-06 17:45:00,2019-06-06 18:00:00,4,14,0:12:37,0:02:23,1,0,1
2062,2019-06-06 18:00:00,2019-06-06 18:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 18:15:00,2019-06-06 18:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 18:30:00,2019-06-06 18:45:00,0,5,0:15:00,0:00:00,0,0,0
2062,2019-06-06 18:45:00,2019-06-06 19:00:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-06 19:00:00,2019-06-06 19:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 19:15:00,2019-06-06 19:30:00,7,28,0:05:58,0:09:02,10,5,5
2062,2019-06-06 19:30:00,2019-06-06 19:45:00,11,43,0:01:31,0:13:29,15,7,8
2062,2019-06-06 19:45:00,2019-06-06 20:00:00,13,27,0:01:16,0:13:44,6,3,3
2062,2019-06-06 20:00:00,2019-06-06 20:15:00,11,30,0:01:36,0:13:24,6,3,3
2062,2019-06-06 20:15:00,2019-06-06 20:30:00,17,33,0:01:12,0:13:48,7,3,4
2062,2019-06-06 20:30:00,2019-06-06 20:45:00,16,30,0:02:18,0:12:42,11,5,6
2062,2019-06-06 20:45:00,2019-06-06 21:00:00,13,21,0:03:17,0:11:43,6,3,3
2062,2019-06-06 21:00:00,2019-06-06 21:15:00,5,32,0:05:29,0:09:31,3,1,2
2062,2019-06-06 21:15:00,2019-06-06 21:30:00,0,5,0:15:00,0:00:00,0,0,0
2062,2019-06-06 21:30:00,2019-06-06 21:45:00,3,16,0:09:34,0:05:26,1,0,1
2062,2019-06-06 21:45:00,2019-06-06 22:00:00,16,38,0:06:00,0:09:00,1,0,1
2062,2019-06-06 22:00:00,2019-06-06 22:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 22:15:00,2019-06-06 22:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 22:30:00,2019-06-06 22:45:00,14,42,0:03:25,0:11:35,1,0,1
2062,2019-06-06 22:45:00,2019-06-06 23:00:00,15,24,0:04:31,0:10:29,1,0,1
2062,2019-06-06 23:00:00,2019-06-06 23:15:00,1,7,0:10:10,0:04:50,0,0,0
2062,2019-06-06 23:15:00,2019-06-06 23:30:00,5,22,0:07:04,0:07:56,2,1,1
2062,2019-06-06 23:30:00,2019-06-06 23:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 23:45:00,2019-06-07 00:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 00:00:00,2019-06-07 00:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 00:15:00,2019-06-07 00:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 00:30:00,2019-06-07 00:45:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-07 00:45:00,2019-06-07 01:00:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-07 01:00:00,2019-06-07 01:15:00,5,28,0:09:54,0:05:06,2,1,1
2062,2019-06-07 01:15:00,2019-06-07 01:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 01:30:00,2019-06-07 01:45:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-07 01:45:00,2019-06-07 02:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 02:00:00,2019-06-07 02:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-07 02:15:00,2019-06-07 02:30:00,1,14,0:11:39,0:03:21,1,0,1
2062,2019-06-07 02:30:00,2019-06-07 02:45:00,1,10,0:12:42,0:02:18,2,1,1
2062,2019-06-07 02:45:00,2019-06-07 03:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 03:00:00,2019-06-07 03:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 03:15:00,2019-06-07 03:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 03:30:00,2019-06-07 03:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 03:45:00,2019-06-07 04:00:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-07 04:00:00,2019-06-07 04:15:00,0,4,0:15:00,0:00:00,0,0,0
2062,2019-06-07 04:15:00,2019-06-07 04:30:00,1,18,0:11:31,0:03:29,3,1,2
2062,2019-06-07 04:30:00,2019-06-07 04:45:00,0,3,0:15:00,0:00:00,0,0,0
2062,2019-06-07 04:45:00,2019-06-07 05:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 05:00:00,2019-06-07 05:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-07 05:15:00,2019-06-07 05:30:00,7,13,0:02:29,0:12:31,0,0,0
2062,2019-06-07 05:30:00,2019-06-07 05:45:00,10,20,0:00:01,0:14:59,1,0,1
2062,2019-06-07 05:45:00,2019-06-07 06:00:00,9,11,0:00:14,0:14:46,1,0,1
2062,2019-06-07 06:00:00,2019-06-07 06:15:00,16,29,0:01:26,0:13:34,12,6,6
2062,2019-06-07 06:15:00,2019-06-07 06:30:00,13,28,0:02:02,0:12:58,11,5,6
2062,2019-06-07 06:30:00,2019-06-07 06:45:00,12,21,0:00:18,0:14:42,2,1,1
2062,2019-06-07 06:45:00,2019-06-07 07:00:00,14,33,0:04:15,0:10:45,9,4,5
2062,2019-06-07 07:00:00,2019-06-07 07:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 07:15:00,2019-06-07 07:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 07:30:00,2019-06-07 07:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 07:45:00,2019-06-07 08:00:00,0,3,0:15:00,0:00:00,0,0,0
2062,2019-06-07 08:00:00,2019-06-07 08:15:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-07 08:15:00,2019-06-07 08:30:00,2,13,0:07:00,0:08:00,8,4,4
2062,2019-06-07 08:30:00,2019-06-07 08:45:00,17,23,0:00:11,0:14:49,1,0,1
2062,2019-06-07 08:45:00,2019-06-07 09:00:00,11,15,0:00:05,0:14:55,1,0,1
2062,2019-06-07 09:00:00,2019-06-07 09:15:00,10,24,0:00:50,0:14:10,6,3,3
2062,2019-06-07 09:15:00,2019-06-07 09:30:00,22,33,0:00:01,0:14:59,1,0,1
2062,2019-06-07 09:30:00,2019-06-07 09:45:00,17,29,0:00:26,0:14:34,4,2,2
2062,2019-06-07 09:45:00,2019-06-07 10:00:00,12,27,0:00:09,0:14:51,2,1,1
2062,2019-06-07 10:00:00,2019-06-07 10:15:00,13,25,0:00:51,0:14:09,5,2,3
2062,2019-06-07 10:15:00,2019-06-07 10:30:00,6,31,0:11:10,0:03:50,2,1,1
2062,2019-06-07 10:30:00,2019-06-07 10:45:00,10,32,0:00:37,0:14:23,4,2,2
2062,2019-06-07 10:45:00,2019-06-07 11:00:00,19,45,0:01:07,0:13:53,3,1,2
2062,2019-06-07 11:00:00,2019-06-07 11:15:00,7,22,0:05:54,0:09:06,3,1,2
2062,2019-06-07 11:15:00,2019-06-07 11:30:00,11,41,0:10:51,0:04:09,1,0,1
2062,2019-06-07 11:30:00,2019-06-07 11:45:00,12,23,0:00:56,0:14:04,13,6,7
2062,2019-06-07 11:45:00,2019-06-07 12:00:00,12,42,0:02:21,0:12:39,7,3,4
2062,2019-06-07 12:00:00,2019-06-07 12:15:00,0,12,0:15:00,0:00:00,0,0,0
2062,2019-06-07 12:15:00,2019-06-07 12:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 12:30:00,2019-06-07 12:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 12:45:00,2019-06-07 13:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 13:00:00,2019-06-07 13:15:00,3,19,0:14:01,0:00:59,0,0,0
2062,2019-06-07 13:15:00,2019-06-07 13:30:00,10,14,0:00:13,0:14:47,7,3,4
2062,2019-06-07 13:30:00,2019-06-07 13:45:00,17,26,0:00:01,0:14:59,1,0,1
2062,2019-06-07 13:45:00,2019-06-07 14:00:00,17,35,0:00:01,0:14:59,1,0,1
2062,2019-06-07 14:00:00,2019-06-07 14:15:00,1,9,0:11:57,0:03:03,1,0,1
2062,2019-06-07 14:15:00,2019-06-07 14:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 14:30:00,2019-06-07 14:45:00,0,0,0:15:00,0:00:00,0,0,0
