Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
5330,2019-07-08 16:00:00,1,1,1,1,1,1,46.6,100.0
5330,2019-07-11 07:00:00,1,1,1,1,1,1,52.4,100.0
5330,2019-08-03 12:15:00,0,1,1,1,1,1,45.2,100.0
5854,2019-06-28 15:00:00,1,1,1,1,1,1,54.6,100.0
5854,2019-07-05 16:15:00,1,1,1,1,1,1,50.8,100.0
5854,2019-07-15 16:15:00,1,1,1,1,1,1,50.2,100.0
5854,2019-07-17 16:30:00,1,1,1,1,1,1,56.7,100.0
5854,2019-07-19 16:45:00,0,1,1,1,1,1,48.7,100.0
5854,2019-07-22 16:45:00,0,1,1,1,1,1,44.9,100.0
5857,2019-06-11 15:00:00,0,1,1,1,1,1,39.5,100.0
5857,2019-07-17 16:45:00,0,1,1,1,1,1,54.5,100.0
5857,2019-07-18 15:30:00,0,1,1,1,1,1,43.9,100.0
5857,2019-07-23 16:15:00,1,1,1,1,1,1,47.9,100.0
5857,2019-07-29 16:45:00,0,1,1,1,1,1,46.4,100.0
5857,2019-08-19 16:30:00,0,1,1,1,1,1,47.0,100.0
5857,2019-08-24 06:45:00,1,1,1,1,1,1,46.5,100.0
5857,2019-08-26 22:15:00,0,1,1,1,1,1,40.8,100.0
5857,2019-09-04 22:45:00,0,1,1,1,1,1,46.4,100.0
5862,2019-07-11 04:15:00,1,1,1,1,1,1,47.2,100.0
5862,2019-07-20 02:00:00,0,1,1,1,1,1,51.0,100.0
5862,2019-07-21 23:00:00,0,1,1,1,1,1,48.5,100.0
5862,2019-08-07 02:15:00,0,1,1,1,1,1,31.9,100.0
5862,2019-08-30 22:45:00,1,1,1,1,1,1,49.5,100.0
5865,2019-06-19 22:15:00,1,1,1,1,1,1,52.3,100.0
5865,2019-07-15 10:15:00,1,1,1,1,1,1,47.0,100.0
5865,2019-07-19 16:15:00,0,1,1,1,1,1,53.4,100.0
5865,2019-08-25 07:45:00,0,1,1,1,1,1,42.4,100.0
5871,2019-06-14 06:30:00,1,1,1,1,1,1,47.1,100.0
5871,2019-07-19 07:45:00,1,1,1,1,1,1,47.3,100.0
5871,2019-07-20 19:15:00,0,1,1,1,1,1,46.1,100.0
5871,2019-07-28 19:00:00,1,1,1,1,1,1,47.0,100.0
5871,2019-07-29 23:45:00,0,1,1,1,1,1,38.1,100.0
5871,2019-07-30 22:30:00,1,1,1,1,1,1,51.0,100.0
5871,2019-08-04 07:15:00,1,1,1,1,1,1,47.0,100.0
5871,2019-08-13 09:30:00,1,1,1,1,1,1,46.6,100.0
5871,2019-08-14 12:15:00,1,1,1,1,1,1,47.5,100.0
5871,2019-08-20 08:00:00,0,1,1,1,1,1,44.3,100.0
8515,2019-06-09 00:00:00,1,1,1,1,1,1,48.4,100.0
8515,2019-06-10 17:45:00,0,1,1,1,1,1,45.1,100.0
8515,2019-06-11 07:30:00,1,1,1,1,1,1,49.2,100.0
8515,2019-06-15 23:45:00,0,1,1,1,1,1,41.9,100.0
8515,2019-07-04 17:15:00,1,1,1,1,1,1,47.2,100.0
8515,2019-08-30 22:15:00,0,1,1,1,1,1,36.7,100.0
8515,2019-09-01 09:45:00,1,1,1,1,1,1,47.2,100.0
8520,2019-06-06 12:15:00,1,1,1,1,1,1,46.9,100.0
8520,2019-06-18 12:00:00,1,1,1,1,1,1,49.4,100.0
8520,2019-06-20 12:30:00,1,1,1,1,1,1,50.0,100.0
8520,2019-07-12 14:45:00,0,1,1,1,1,1,43.1,100.0
8520,2019-07-15 13:15:00,1,1,1,1,1,1,47.9,100.0
8520,2019-07-18 15:45:00,1,1,1,1,1,1,47.6,100.0
8520,2019-07-22 16:30:00,0,1,1,1,1,1,44.4,100.0
8520,2019-07-29 15:30:00,0,1,1,1,1,1,45.6,100.0
8520,2019-08-19 12:15:00,1,1,1,1,1,1,56.9,100.0
8520,2019-08-20 09:30:00,0,1,1,1,1,1,38.8,100.0
8525,2019-06-17 18:30:00,0,1,1,1,1,1,39.7,100.0
