Start,Steps,THI,n_cows
2019-07-01 21:15:00,11.066666666666666,71.18435564749427,15
2019-07-01 21:30:00,7.866666666666666,71.02661149974442,15
2019-07-01 21:45:00,6.266666666666667,70.8344336491317,15
2019-07-01 22:00:00,5.066666666666666,70.58924483636369,15
2019-07-01 22:15:00,4.6,70.43827092194202,15
2019-07-01 22:30:00,6.266666666666667,70.15041957887912,15
2019-07-01 22:45:00,3.2,69.96157454798934,15
2019-07-01 23:00:00,7.066666666666666,69.45269532691269,15
2019-07-01 23:15:00,7.666666666666667,69.23292497805119,15
2019-07-01 23:30:00,4.133333333333334,69.08079178017694,15
2019-07-01 23:45:00,6.666666666666667,68.74667019989741,15
2019-07-02 00:00:00,7.6,68.43956137267027,15
2019-07-02 00:15:00,8.066666666666666,68.13438121674625,15
2019-07-02 00:30:00,8.466666666666667,67.98753321107725,15
2019-07-02 00:45:00,5.533333333333333,67.73334717396618,15
2019-07-02 01:00:00,6.066666666666666,67.58968619868973,15
2019-07-02 01:15:00,4.6,67.33270792051663,15
2019-07-02 01:30:00,3.2,66.96124910335371,15
2019-07-02 01:45:00,1.3333333333333333,66.77598192044407,15
2019-07-02 02:00:00,3.933333333333333,66.69603281691776,15
2019-07-02 02:15:00,1.8666666666666667,66.615398999872,15
2019-07-02 02:30:00,3.466666666666667,66.56557894048997,15
2019-07-02 02:45:00,2.6666666666666665,66.42898962742375,15
2019-07-02 03:00:00,2.6666666666666665,66.34947306895513,15
2019-07-02 03:15:00,4.066666666666666,66.23943324512697,15
2019-07-02 03:30:00,5.266666666666667,66.0764990583268,15
2019-07-02 03:45:00,5.733333333333333,66.10254178236738,15
2019-07-02 04:00:00,3.8666666666666667,65.9557315008812,15
2019-07-02 04:15:00,3.0,65.80915005907706,15
2019-07-02 04:30:00,6.333333333333333,65.70416123894911,15
2019-07-02 04:45:00,5.866666666666666,65.65883532307141,15
2019-07-02 05:00:00,3.6,65.60581105804614,15
2019-07-02 05:15:00,6.666666666666667,65.6177241433026,15
2019-07-02 05:30:00,6.6,65.6100698991225,15
2019-07-02 05:45:00,10.4,65.64038121088062,15
2019-07-02 06:00:00,12.066666666666666,65.55632418552239,15
2019-07-02 06:15:00,13.333333333333334,65.52177085212328,15
2019-07-02 06:30:00,11.4,65.6482209952042,15
2019-07-02 06:45:00,12.4,65.90539053880589,15
2019-07-02 07:00:00,8.533333333333333,66.04094261561856,15
2019-07-02 07:15:00,2.7333333333333334,66.44173116032077,15
2019-07-02 07:30:00,0.0,66.79265671484173,15
2019-07-02 07:45:00,0.6666666666666666,67.08947046388649,15
2019-07-02 08:00:00,1.6,67.87412711867552,15
2019-07-02 08:15:00,3.533333333333333,68.55570507159086,15
2019-07-02 08:30:00,6.4,69.239732649759,15
2019-07-02 08:45:00,6.866666666666666,69.73026149060787,15
2019-07-02 09:00:00,8.2,70.24549978041414,15
2019-07-02 09:15:00,8.866666666666667,70.90974665458512,15
2019-07-02 09:30:00,29.6,71.50636938949283,15
2019-07-02 09:45:00,30.333333333333332,71.90095178962858,15
2019-07-02 10:00:00,16.6,72.63105437091819,15
2019-07-02 10:15:00,15.733333333333333,72.72957961740411,15
2019-07-02 10:30:00,13.8,72.81016206817098,15
2019-07-02 10:45:00,11.733333333333333,73.43237634502752,15
2019-07-02 11:00:00,35.46666666666667,73.71504853788984,15
2019-07-02 11:15:00,21.733333333333334,74.12336948029247,15
