Experiment,Cow,scan_date,icetag_covered_pm1j,icetag_covered_same_day,alert_present_pm1j,n_alerts_pm1j,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other
Summer 2019,5169,2019-07-12,1,1,0,0,0.0,,0.6896551724137931,,0.13793103448275862,0.1724137931034483,0.0,0.0,0.0
Summer 2019,5258,2019-07-12,1,1,0,0,0.0,,0.48148148148148145,,0.3333333333333333,0.14814814814814814,0.0,0.037037037037037035,0.0
Summer 2019,8536,2019-07-12,1,1,0,0,0.0,,0.8571428571428571,,0.14285714285714285,0.0,0.0,0.0,0.0
Summer 2019,8520,2019-07-12,1,1,1,1,0.0,,0.5,,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.0
Summer 2019,5854,2019-07-18,1,1,1,2,0.06666666666666667,,0.7666666666666667,,0.0,0.16666666666666666,0.0,0.0,0.0
Summer 2019,8520,2019-07-18,1,1,1,1,0.03333333333333333,,0.6,,0.16666666666666666,0.1,0.06666666666666667,0.03333333333333333,0.0
Summer 2019,5857,2019-07-18,1,1,1,2,0.03333333333333333,,0.8333333333333334,,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0
Summer 2019,8536,2019-07-18,1,1,1,2,0.0,,0.8333333333333334,,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0
Summer 2019,5258,2019-07-18,1,1,0,0,0.2,,0.3333333333333333,,0.26666666666666666,0.2,0.0,0.0,0.0
Summer 2019,5169,2019-07-18,1,1,0,0,0.0,,0.6666666666666666,,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0
Summer 2019,419,2019-07-18,1,1,1,1,0.0,,0.8666666666666667,,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0
Summer 2019,5865,2019-07-18,1,1,1,1,0.0,,0.6,,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0
Summer 2019,5854,2019-07-25,1,1,0,0,0.1,,0.6333333333333333,,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667
Summer 2019,5865,2019-07-25,1,1,0,0,0.0,,0.7666666666666667,,0.2,0.03333333333333333,0.0,0.0,0.0
Summer 2019,8536,2019-07-25,1,1,0,0,0.03333333333333333,,0.6666666666666666,,0.1,0.1,0.03333333333333333,0.06666666666666667,0.0
Summer 2019,5857,2019-07-25,1,1,0,0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0
Summer 2019,419,2019-07-25,1,1,1,1,0.0,,0.8666666666666667,,0.13333333333333333,0.0,0.0,0.0,0.0
Summer 2019,8520,2019-07-25,1,1,0,0,0.06666666666666667,,0.26666666666666666,,0.26666666666666666,0.2,0.2,0.0,0.0
Summer 2019,8520,2019-08-02,1,1,0,0,0.0,,0.6,,0.2,0.16666666666666666,0.03333333333333333,0.0,0.0
