Experiment,Paddock,Date,Week,Cow,Code,Trt,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other,jour,temp_jour,rh_jour,THI_jour
Summer2019,8,2019-07-12,2.0,5258,Orange,80 - 2h,0.0,,0.48148148148148145,,0.3333333333333333,0.14814814814814814,0.0,0.037037037037037035,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
Summer2019,10,2019-07-12,2.0,8536,Blue lines,60 -1h,0.0,,0.8571428571428571,,0.14285714285714285,0.0,0.0,0.0,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
Summer2019,14,2019-07-12,2.0,8520,Zebra,40 - 1h,0.0,,0.5,,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
Summer2019,1,2019-07-18,3.0,5854,Cactus,80 - 2h,0.06666666666666667,,0.7666666666666667,,0.0,0.16666666666666666,0.0,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,3,2019-07-18,3.0,8520,Zebra,40 - 2h,0.03333333333333333,,0.6,,0.16666666666666666,0.1,0.06666666666666667,0.03333333333333333,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,5,2019-07-18,3.0,5857,Yellow,20 - 2h,0.03333333333333333,,0.8333333333333334,,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,7,2019-07-18,3.0,8536,Blue lines,60 - 2h,0.0,,0.8333333333333334,,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,9,2019-07-18,3.0,5258,Orange,80 - 1h,0.2,,0.3333333333333333,,0.26666666666666666,0.2,0.0,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,11,2019-07-18,3.0,5169,Unicorn,40 - 1h,0.0,,0.6666666666666666,,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,13,2019-07-18,3.0,419,Green,20 - 1h,0.0,,0.8666666666666667,,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
